Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1465)",,,"Reconstruction Position - Unlabeled Track (1481)",,,"Reconstruction Position - Unlabeled Track (1509)",,,"Reconstruction Position - Unlabeled Track (1514)",,,"Reconstruction Position - Unlabeled Track (1516)",,,"Reconstruction Position - Unlabeled Track (1538)",,,"Reconstruction Position - Unlabeled Track (1539)",,,"Reconstruction Position - Unlabeled Track (1542)",,,"Reconstruction Position - Unlabeled Track (1548)",,,"Reconstruction Position - Unlabeled Track (1549)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
43,0,"-949.925","-680.971","1012.94","-1158.58","-579.323","1589.48","-1063.89","-680.622","490.015","-1201.6","-583.769","1210.44","-1421.52","-724.408","1345.21","-1434.98","-762.903","147.675","-1474.89","-790.621","1036.29","-1017.51","-701.976","1325.36","-1054.51","-555.88","854.743","-1352.36","-693.484","473.574","-1033.63","-723.703","127.574","-1369.41","-575.616","994.134","nan","nan","nan","nan","nan","nan"
44,0,"-949.887","-680.803","1012.99","-1158.46","-579.318","1589.44","-1063.91","-680.504","490.086","-1201.62","-583.746","1210.47","-1421.44","-724.467","1345.22","-1434.99","-762.932","147.665","-1474.96","-790.606","1036.43","-1017.49","-701.957","1325.35","-1054.56","-555.821","854.785","-1352.43","-693.476","473.591","-1033.72","-723.655","127.549","-1369.4","-575.63","994.269","nan","nan","nan","nan","nan","nan"
45,0,"-949.822","-680.644","1013.08","-1158.33","-579.293","1589.39","-1063.97","-680.331","490.14","-1201.63","-583.708","1210.5","-1421.39","-724.438","1345.3","-1434.99","-762.976","147.628","-1475.05","-790.513","1036.63","-1017.47","-701.956","1325.38","-1054.57","-555.716","854.841","-1352.49","-693.497","473.571","-1033.72","-723.603","127.606","-1369.35","-575.592","994.437","nan","nan","nan","nan","nan","nan"
46,0,"-949.763","-680.523","1013.18","-1158.15","-579.244","1589.31","-1064.05","-680.018","490.25","-1201.61","-583.653","1210.54","-1421.32","-724.417","1345.37","-1434.98","-763.044","147.58","-1475.42","-790.681","1036.87","-1017.45","-701.965","1325.36","-1054.57","-555.592","854.931","-1352.57","-693.576","473.51","-1033.78","-723.573","127.639","-1369.18","-575.539","994.659","nan","nan","nan","nan","nan","nan"
47,0,"-949.649","-680.325","1013.25","-1157.93","-579.218","1589.24","-1064.09","-679.827","490.358","-1201.59","-583.592","1210.59","-1421.23","-724.347","1345.48","-1434.99","-763.124","147.52","-1475.48","-790.309","1037.05","-1017.4","-701.978","1325.29","-1054.54","-555.513","855.008","-1352.68","-693.642","473.448","-1033.9","-723.52","127.657","-1368.99","-575.404","994.981","nan","nan","nan","nan","nan","nan"
48,0,"-949.462","-680.165","1013.38","-1157.62","-579.187","1589.09","-1064.15","-679.547","490.483","-1201.53","-583.512","1210.64","-1421.14","-724.177","1345.61","-1435","-763.228","147.442","-1475.45","-789.617","1037.27","-1017.35","-702.017","1325.19","-1054.44","-555.432","855.093","-1352.82","-693.75","473.348","-1033.96","-723.4","127.787","-1368.82","-575.121","995.395","nan","nan","nan","nan","nan","nan"
49,0,"-949.283","-680.082","1013.55","-1157.29","-579.137","1588.94","-1064.2","-679.195","490.741","-1201.45","-583.407","1210.7","-1421","-723.994","1345.73","-1435.03","-763.365","147.335","-1475.82","-789.292","1037.53","-1017.29","-702.069","1325.04","-1054.26","-555.389","855.184","-1353.02","-693.885","473.277","-1033.99","-723.295","127.837","-1368.49","-574.69","995.903","nan","nan","nan","nan","nan","nan"
50,0,"-949.035","-680.005","1013.68","-1156.86","-579.058","1588.71","-1064.33","-678.416","491.165","-1201.32","-583.285","1210.78","-1420.8","-723.706","1345.91","-1435.1","-763.575","147.266","-1476.05","-788.557","1037.81","-1017.18","-702.176","1324.91","-1054","-555.394","855.258","-1353.33","-693.993","473.187","-1034.08","-723.076","128.017","-1368.12","-574.106","996.482","nan","nan","nan","nan","nan","nan"
51,0,"-948.716","-679.978","1013.82","-1156.42","-578.973","1588.53","-1064.47","-677.616","491.707","-1201.14","-583.167","1210.81","-1420.54","-723.379","1346.13","-1435.16","-763.798","147.162","-1476.24","-787.563","1038.04","-1017","-702.28","1324.67","-1053.64","-555.313","855.406","-1353.71","-694.105","473.072","-1034.17","-722.986","128.014","-1367.66","-573.29","997.073","nan","nan","nan","nan","nan","nan"
52,0,"-948.344","-679.967","1013.88","-1155.91","-578.888","1588.41","-1064.53","-676.781","492.269","-1200.91","-583.035","1210.88","-1420.23","-722.99","1346.35","-1435.25","-764.042","147.064","-1476.5","-786.38","1038.34","-1016.79","-702.445","1324.47","-1053.13","-555.169","855.568","-1354.13","-694.18","472.975","-1034.26","-722.738","128.104","-1367.13","-572.262","997.78","nan","nan","nan","nan","nan","nan"
53,0,"-947.87","-680.05","1013.93","-1155.23","-578.776","1588.15","-1064.59","-675.656","493.02","-1200.59","-582.915","1210.94","-1419.9","-722.383","1346.63","-1435.33","-764.275","146.972","-1476.72","-784.969","1038.53","-1016.49","-702.681","1324.24","-1052.45","-555.026","855.846","-1354.48","-694.291","472.838","-1034.32","-722.543","128.155","-1366.57","-571","998.612","nan","nan","nan","nan","nan","nan"
54,0,"-947.258","-680.259","1013.94","-1154.52","-578.705","1587.95","-1064.52","-674.399","493.68","-1200.19","-582.811","1210.93","-1419.47","-721.82","1346.78","-1435.4","-764.451","146.893","-1476.89","-783.237","1038.7","-1016.12","-702.914","1323.97","-1051.68","-554.934","856.018","-1354.85","-694.479","472.7","-1034.42","-722.426","128.141","-1365.91","-569.558","999.612","nan","nan","nan","nan","nan","nan"
