Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1370)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1402)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1409)",,,"Reconstruction Position - Unlabeled Track (1430)",,,"Reconstruction Position - Unlabeled Track (1431)",,,"Reconstruction Position - Unlabeled Track (1432)",,,"Reconstruction Position - Unlabeled Track (1433)",,,"Reconstruction Position - Unlabeled Track (1438)",,,"Reconstruction Position - Unlabeled Track (1440)",,,"Reconstruction Position - Unlabeled Track (1442)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
32,0,"-902.671","-656.479","1033.45","-1368.15","-534.88","978.932","-1197.93","-545.579","1603.79","-1055.92","-619.238","495.016","-1036.67","-687.642","125.415","-999.171","-658.359","1334.21","-1180.27","-539.762","1211.18","-1437.98","-759.973","1028.27","-1002.56","-529.09","871.12","-1369.95","-668.78","145.383","-1307.94","-610.225","485.481","-1406.36","-672.295","1335","nan","nan","nan","nan","nan","nan","nan","nan","nan"
33,0,"-902.678","-656.255","1033.5","-1368.24","-534.791","979.063","-1197.87","-545.605","1603.8","-1056.01","-619.171","494.984","-1036.66","-687.551","125.484","-999.204","-658.285","1334.25","-1180.36","-539.661","1211.26","-1438.13","-759.922","1028.29","-1002.61","-528.886","871.18","-1369.97","-668.792","145.398","-1307.99","-610.236","485.473","-1406.38","-672.279","1335.01","nan","nan","nan","nan","nan","nan","nan","nan","nan"
34,0,"-902.648","-656","1033.57","-1368.33","-534.692","979.168","-1197.81","-545.625","1603.79","-1056.09","-619.112","494.939","-1036.66","-687.526","125.518","-999.236","-658.173","1334.29","-1180.42","-539.544","1211.31","-1438.3","-759.848","1028.35","-1002.65","-528.639","871.307","-1369.99","-668.809","145.421","-1308.04","-610.355","485.4","-1406.43","-672.231","1335.09","nan","nan","nan","nan","nan","nan","nan","nan","nan"
35,0,"-902.649","-655.747","1033.62","-1368.45","-534.628","979.267","-1197.77","-545.647","1603.79","-1056.2","-619.024","494.903","-1036.67","-687.521","125.511","-999.297","-658.082","1334.29","-1180.5","-539.419","1211.36","-1438.47","-759.712","1028.44","-1002.69","-528.357","871.414","-1370.02","-668.821","145.462","-1308.08","-610.403","485.372","-1406.47","-672.184","1335.15","nan","nan","nan","nan","nan","nan","nan","nan","nan"
36,0,"-902.654","-655.495","1033.66","-1368.56","-534.539","979.337","-1197.71","-545.653","1603.78","-1056.26","-618.956","494.871","-1036.69","-687.499","125.539","-999.348","-657.958","1334.31","-1180.57","-539.283","1211.43","-1438.65","-759.571","1028.55","-1002.72","-528.166","871.445","-1370.04","-668.829","145.489","-1308.12","-610.519","485.331","-1406.55","-672.111","1335.26","nan","nan","nan","nan","nan","nan","nan","nan","nan"
37,0,"-902.662","-655.265","1033.72","-1368.65","-534.423","979.374","-1197.65","-545.667","1603.78","-1056.33","-618.901","494.845","-1036.71","-687.486","125.533","-999.428","-657.883","1334.31","-1180.67","-539.18","1211.51","-1438.81","-759.421","1028.65","-1002.78","-527.93","871.525","-1370.06","-668.85","145.492","-1308.14","-610.578","485.336","-1406.62","-672.048","1335.36","nan","nan","nan","nan","nan","nan","nan","nan","nan"
38,0,"-902.701","-655.064","1033.8","-1368.78","-534.343","979.468","-1197.6","-545.678","1603.8","-1056.37","-618.805","494.859","-1036.72","-687.462","125.556","-999.514","-657.809","1334.32","-1180.77","-539.087","1211.58","-1438.98","-759.299","1028.74","-1002.86","-527.699","871.561","-1370.08","-668.888","145.516","-1308.17","-610.683","485.284","-1406.69","-672.002","1335.46","nan","nan","nan","nan","nan","nan","nan","nan","nan"
39,0,"-902.76","-654.846","1033.83","-1368.89","-534.246","979.531","-1197.55","-545.692","1603.78","-1056.46","-618.758","494.863","-1036.7","-687.471","125.543","-999.565","-657.664","1334.35","-1180.86","-538.996","1211.63","-1439.14","-759.189","1028.8","-1002.97","-527.529","871.59","-1370.13","-668.932","145.576","-1308.18","-610.73","485.26","-1406.77","-671.948","1335.53","nan","nan","nan","nan","nan","nan","nan","nan","nan"
40,0,"-902.805","-654.636","1033.87","-1368.97","-534.406","979.79","-1197.51","-545.692","1603.78","-1056.49","-618.672","494.863","-1036.72","-687.446","125.556","-999.61","-657.581","1334.37","-1180.95","-538.922","1211.67","-1439.32","-759.149","1028.81","-1003.03","-527.289","871.647","-1370.11","-668.928","145.555","-1308.21","-610.806","485.216","-1406.85","-671.871","1335.59","nan","nan","nan","nan","nan","nan","nan","nan","nan"
41,0,"-902.871","-654.356","1033.85","-1369.11","-534.017","979.661","-1197.47","-545.7","1603.77","-1056.5","-618.588","494.857","-1036.72","-687.443","125.555","-999.696","-657.496","1334.38","-1181.04","-538.859","1211.72","-1439.49","-759.064","1028.84","-1003.1","-527.017","871.739","-1370.13","-668.956","145.595","-1308.21","-610.842","485.203","-1406.94","-671.806","1335.65","nan","nan","nan","nan","nan","nan","nan","nan","nan"
42,0,"-902.892","-654.091","1033.84","-1369.22","-533.93","979.734","-1197.45","-545.716","1603.77","-1056.51","-618.497","494.824","-1036.73","-687.423","125.573","-999.789","-657.431","1334.39","-1181.15","-538.808","1211.78","-1439.65","-758.96","1028.89","-1003.12","-526.807","871.788","-1370.12","-668.968","145.568","-1308.2","-610.922","485.101","-1407.06","-671.716","1335.74","nan","nan","nan","nan","nan","nan","nan","nan","nan"
43,0,"-902.971","-653.904","1033.85","-1369.31","-533.821","979.77","-1197.45","-545.729","1603.77","-1056.51","-618.417","494.797","-1036.73","-687.392","125.568","-999.871","-657.375","1334.4","-1181.25","-538.74","1211.83","-1439.8","-758.81","1028.95","-1003.15","-526.603","871.833","-1370.14","-668.984","145.611","-1308.22","-610.919","485.095","-1407.16","-671.62","1335.8","nan","nan","nan","nan","nan","nan","nan","nan","nan"
44,0,"-903.014","-653.7","1033.86","-1369.4","-533.711","979.802","-1197.45","-545.738","1603.77","-1056.53","-618.291","494.805","-1036.73","-687.424","125.532","-1000.01","-657.358","1334.38","-1181.35","-538.646","1211.87","-1439.93","-758.687","1028.97","-1003.18","-526.402","871.857","-1370.14","-668.99","145.595","-1308.21","-610.953","485.013","-1407.23","-671.553","1335.8","nan","nan","nan","nan","nan","nan","nan","nan","nan"
45,0,"-903.085","-653.562","1033.93","-1369.49","-533.604","979.834","-1197.47","-545.745","1603.77","-1056.53","-618.168","494.806","-1036.75","-687.42","125.517","-1000.11","-657.28","1334.38","-1181.45","-538.539","1211.9","-1440.05","-758.571","1029.01","-1003.23","-526.251","871.883","-1370.14","-668.981","145.582","-1308.22","-610.981","484.973","-1407.34","-671.429","1335.85","nan","nan","nan","nan","nan","nan","nan","nan","nan"
46,0,"-903.122","-653.444","1034.03","-1369.57","-533.511","979.86","-1197.51","-545.754","1603.77","-1056.55","-618.075","494.796","-1036.76","-687.4","125.519","-1000.19","-657.219","1334.39","-1181.53","-538.446","1211.88","-1440.18","-758.45","1029.06","-1003.29","-526.018","871.919","-1370.15","-668.972","145.567","-1308.23","-610.901","485.011","-1407.44","-671.347","1335.89","nan","nan","nan","nan","nan","nan","nan","nan","nan"
47,0,"-903.153","-653.235","1034.03","-1369.66","-533.416","979.909","-1197.54","-545.751","1603.78","-1056.55","-617.97","494.778","-1036.75","-687.398","125.522","-1000.25","-657.14","1334.45","-1181.62","-538.334","1211.92","-1440.28","-758.352","1029.06","-1003.36","-525.818","871.981","-1370.16","-668.97","145.554","-1308.24","-610.88","484.991","-1407.5","-671.299","1335.84","nan","nan","nan","nan","nan","nan","nan","nan","nan"
48,0,"-903.189","-653.074","1034.06","-1369.72","-533.636","980.163","-1197.61","-545.755","1603.82","-1056.57","-617.898","494.763","-1036.77","-687.379","125.536","-1000.37","-657.085","1334.45","-1181.69","-538.223","1211.95","-1440.39","-758.257","1029.07","-1003.44","-525.626","871.997","-1370.15","-668.939","145.525","-1308.25","-610.855","484.992","-1407.57","-671.217","1335.82","nan","nan","nan","nan","nan","nan","nan","nan","nan"
49,0,"-903.247","-652.917","1034.11","-1369.8","-533.535","980.198","-1197.66","-545.728","1603.84","-1056.58","-617.815","494.752","-1036.77","-687.366","125.551","-1000.41","-656.935","1334.51","-1181.74","-538.1","1211.96","-1440.48","-758.154","1029.07","-1003.48","-525.428","872.012","-1370.14","-668.91","145.488","-1308.27","-610.856","484.976","-1407.66","-671.135","1335.83","nan","nan","nan","nan","nan","nan","nan","nan","nan"
50,0,"-903.323","-652.728","1034.11","-1369.85","-533.471","980.231","-1197.73","-545.733","1603.9","-1056.68","-617.789","494.694","-1036.77","-687.356","125.552","-1000.46","-656.817","1334.55","-1181.82","-537.997","1212","-1440.57","-758.091","1029.05","-1003.53","-525.322","872.039","-1370.15","-668.906","145.51","-1308.32","-610.787","485.052","-1407.74","-671.047","1335.83","nan","nan","nan","nan","nan","nan","nan","nan","nan"
51,0,"-903.375","-652.511","1034.1","-1369.89","-533.103","980.021","-1197.82","-545.715","1603.94","-1056.66","-617.695","494.705","-1036.65","-687.473","125.51","-1000.54","-656.726","1334.57","-1181.9","-537.888","1212.05","-1440.64","-757.989","1029.04","-1003.62","-525.149","872.068","-1370.16","-668.895","145.502","-1308.35","-610.731","485.085","-1407.84","-670.956","1335.85","nan","nan","nan","nan","nan","nan","nan","nan","nan"
