Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1370)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1402)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1409)",,,"Reconstruction Position - Unlabeled Track (1430)",,,"Reconstruction Position - Unlabeled Track (1431)",,,"Reconstruction Position - Unlabeled Track (1432)",,,"Reconstruction Position - Unlabeled Track (1433)",,,"Reconstruction Position - Unlabeled Track (1438)",,,"Reconstruction Position - Unlabeled Track (1440)",,,"Reconstruction Position - Unlabeled Track (1442)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
754,0,"-1732.78","-56.9302","901.745","-2156.78","-402.105","750.859","-2029.53","50.5977","1341.91","-1824.66","-133.005","524.933","-1835.28","-139.486","139.485","-1816.44","-52.7213","1201.42","nan","nan","nan","-2085.5","-454.451","961.268","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
755,0,"-1727.83","-59.7749","900.158","-2159.05","-396.702","744.353","-2033.91","54.5552","1334.36","-1824.21","-132.488","525.637","-1835.1","-139.559","139.545","-1818.5","-50.6658","1198.07","nan","nan","nan","-2089.1","-448.954","955.017","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
756,0,"-1722.41","-62.8395","898.625","-2161.11","-391.537","737.512","-2038.33","58.4339","1326.82","-1823.49","-133.054","525.718","-1835.1","-139.67","139.616","-1820.41","-48.6908","1194.61","nan","nan","nan","-2092.51","-443.416","948.535","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
757,0,"-1716.36","-66.137","897.53","-2163.22","-386.549","730.336","-2042.87","62.1331","1319.2","-1822.92","-133.595","525.863","-1834.52","-139.355","139.523","-1822.18","-46.8927","1191.01","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
758,0,"-1709.8","-69.7228","896.686","-2165.11","-381.578","722.908","-2047.48","65.6924","1311.45","-1822.43","-134.235","526.057","-1835.3","-139.863","139.501","-1823.89","-45.07","1187.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
759,0,"-1702.9","-73.661","896.036","-2166.98","-376.721","715.199","-2052.17","68.9908","1303.66","-1821.4","-135.669","524.439","-1834.7","-139.661","139.599","-1825.47","-43.5415","1183.37","nan","nan","nan","-2101.56","-429.236","926.262","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
760,0,"-1695.79","-78.0165","895.792","-2168.73","-371.959","707.141","-2056.89","72.173","1295.77","-1820.96","-136.146","524.535","-1834.79","-139.797","139.829","-1826.98","-42.0337","1179.39","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
761,0,"-1688.65","-82.3759","896.064","-2170.51","-367.225","698.903","-2061.6","75.1339","1287.67","-1820.18","-137.484","523.169","-1834.77","-139.808","139.511","-1828.37","-40.8503","1175.37","nan","nan","nan","-2107.79","-418.575","910.584","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
762,0,"-1681.58","-86.9873","896.629","-2172","-362.68","690.151","-2066.31","78.1319","1279.38","-1820.23","-135.804","525.31","-1834.13","-139.593","139.686","-1829.74","-39.6529","1171.19","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
763,0,"-1674.64","-91.7452","897.444","-2173.48","-358.099","681.181","-2070.89","80.7093","1270.86","-1819.48","-137.473","524.398","-1834.82","-140.079","139.725","-1831.05","-38.6965","1166.98","nan","nan","nan","-2113.57","-408.375","893.602","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
764,0,"-1667.9","-96.5063","898.742","-2174.71","-353.717","671.675","-2075.41","83.3242","1262.09","-1818.93","-137.519","524.677","-1834.26","-139.91","140.354","-1832.36","-37.8977","1162.62","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
765,0,"-1661.51","-101.263","899.975","-2175.83","-349.41","661.827","-2079.87","85.9085","1252.98","-1818.33","-137.434","524.962","-1835.09","-140.355","140.5","-1833.65","-37.2058","1158.14","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
766,0,"-1655.42","-106.047","901.344","-2176.79","-345.219","651.55","-2084.21","88.2763","1243.58","-1817.67","-137.093","525.25","-1833.77","-142.035","136.154","-1834.95","-36.7817","1153.19","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
767,0,"-1649.67","-110.781","902.798","-2177.51","-341.229","640.743","-2088.51","90.7176","1233.75","-1817","-136.696","525.437","-1834.07","-139.707","142.09","-1836.3","-36.2834","1148.26","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
768,0,"-1644.38","-115.591","904.27","-2178.26","-337.242","629.684","-2092.69","92.993","1223.65","-1816.32","-136.168","525.569","-1834.3","-139.75","141.073","-1837.79","-35.9023","1143.23","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
769,0,"-1639.44","-120.135","905.823","-2178.76","-333.455","618.202","-2096.89","95.4156","1213.26","-1815.67","-135.654","525.738","-1833.72","-140.631","139.298","-1839.39","-35.5918","1138.06","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
770,0,"-1634.96","-124.747","907.433","-2179.04","-329.743","606.496","-2100.99","97.5728","1202.63","-1815.12","-135.063","526.17","-1833.09","-140.483","137.958","-1840.99","-35.2712","1132.74","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
771,0,"-1630.82","-129.117","909.096","-2179.04","-326.231","594.399","-2105.03","99.6849","1191.74","-1814.44","-134.536","526.351","nan","nan","nan","-1842.79","-34.9991","1127.3","nan","nan","nan","-2132.54","-365.754","810.376","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
772,0,"-1627.03","-133.649","910.922","-2178.71","-322.835","582.059","-2109.04","101.651","1180.63","-1813.81","-134.11","526.498","-1836.42","-141.593","142.178","-1844.57","-34.7041","1121.9","-1956.89","-140.541","941.736","-2133.8","-361.531","798.555","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
773,0,"-1623.55","-138.055","912.753","-2178.2","-319.585","569.54","-2112.99","103.567","1169.29","-1813.11","-134.348","525.719","-1833.34","-139.457","141.282","-1846.42","-34.4724","1116.36","-1955.56","-139.435","933.665","-2134.75","-357.209","786.17","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
774,0,"-1620.47","-142.321","914.738","-2177.36","-316.422","556.822","-2116.87","105.251","1157.8","-1812.68","-134.02","526.017","-1832.72","-139.717","141.06","-1848.26","-34.2346","1110.8","-1954.03","-138.64","925.407","-2135.52","-353.025","773.809","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
775,0,"-1617.7","-146.467","916.852","-2176.37","-313.687","543.974","-2120.61","106.73","1146.17","-1812.26","-133.628","526.417","-1832.04","-140.397","138.986","-1850.1","-34.1359","1104.95","-1952.57","-138.026","917.213","-2136.19","-349.021","761.073","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
776,0,"-1615.29","-150.392","918.82","-2175.17","-311.252","531.027","-2124.26","108.192","1134.38","-1811.89","-133.462","526.658","-1831.93","-140.659","139.247","-1852.02","-33.9435","1099.19","-1951.12","-137.628","909.131","-2136.68","-344.967","748.327","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
777,0,"-1613.24","-154.186","920.823","-2173.84","-309.019","518.01","-2127.78","109.412","1122.51","-1811.44","-132.318","528.299","-1832.25","-139.9","141.455","-1853.97","-33.5764","1093.25","-1949.78","-137.455","901.05","-2137.04","-340.925","735.541","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
778,0,"-1611.48","-157.664","922.591","-2172.48","-307.123","504.939","-2131.21","110.67","1110.52","-1810.92","-132.006","528.933","-1832.27","-139.841","141.605","-1855.88","-33.2933","1087.28","-1948.6","-137.341","893.005","-2137.28","-337.207","722.568","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
779,0,"-1610.15","-161.011","924.339","-2171.05","-305.41","491.672","-2134.52","111.816","1098.51","-1810.21","-131.75","529.285","-1832.15","-139.858","141.629","-1857.81","-33.0981","1081.16","-1947.6","-137.364","885.014","-2137.36","-333.391","709.879","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
780,0,"-1609","-164.146","926.065","-2169.81","-303.711","478.286","-2137.77","112.928","1086.41","-1809.42","-131.587","529.512","-1832.09","-139.761","141.735","-1859.83","-32.7064","1075.03","-1946.7","-137.403","876.876","-2137.22","-329.665","696.646","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
781,0,"-1608.14","-167.025","927.811","-2168.54","-301.871","464.875","-2140.92","113.841","1074.37","-1808.55","-131.264","529.416","-1831.61","-139.921","141.185","-1861.75","-32.2412","1068.93","-1945.92","-137.547","868.878","-2137","-326.057","683.84","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
782,0,"-1607.66","-169.843","929.42","-2167.35","-300.309","451.723","-2143.96","114.783","1062.29","-1807.81","-130.907","529.663","-1831.67","-138.717","142.146","-1863.74","-31.8152","1062.78","-1945.17","-137.758","860.835","-2136.69","-322.663","671.001","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
783,0,"-1607.36","-172.394","931.044","-2169.9","-289.828","432.491","-2146.87","115.727","1050.3","-1807.14","-130.582","529.73","-1831.59","-138.89","142.725","-1865.71","-31.3539","1056.6","-1944.46","-137.981","852.841","-2136.34","-318.663","658.349","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
784,0,"-1607.36","-174.875","932.591","-2168.46","-288.633","420.039","-2149.61","116.464","1038.53","-1806.58","-130.268","529.808","-1830.8","-139.245","141.388","-1867.72","-30.8886","1050.39","-1943.75","-138.199","845.117","-2136.1","-315.35","645.203","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
785,0,"-1607.62","-177.068","933.907","-2167.14","-287.844","407.093","-2152.16","117.175","1026.88","-1806.19","-130.139","529.891","-1830.76","-139.195","141.909","-1869.74","-30.5398","1044.22","-1943","-138.323","838.046","-2135.97","-311.305","633.248","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
786,0,"-1608.09","-179.012","935.162","-2166.13","-286.95","395.545","-2154.53","117.856","1015.31","-1805.9","-130.158","529.917","-1830.98","-138.021","142.806","-1871.72","-29.9302","1038.41","-1942.11","-138.51","831.102","-2135.95","-308.236","620.34","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
787,0,"-1608.8","-180.77","936.173","-2165.13","-285.809","384.143","-2156.69","118.467","1004.02","-1805.75","-130.337","530.053","-1830.49","-138.612","142.161","-1873.78","-29.5926","1032.56","-1941.1","-138.637","824.254","-2135.99","-304.221","608.663","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
788,0,"-1609.7","-182.213","937.103","-2164.29","-285.182","372.845","-2158.73","118.95","993.036","-1805.85","-130.655","530.285","-1830.47","-138.569","142.316","-1875.86","-29.2552","1026.77","-1940.14","-138.729","817.877","-2136.09","-300.67","597.263","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
789,0,"-1610.82","-183.472","937.975","-2163.32","-284.214","361.7","-2160.65","119.336","982.09","-1806.2","-131.041","530.747","-1830.32","-139.242","142.093","-1877.88","-29.1167","1020.98","-1939.02","-138.701","811.212","-2136.06","-297.083","586.391","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
790,0,"-1612.14","-184.576","938.66","-2162.65","-284.388","351.689","-2162.44","119.629","971.446","-1806.58","-131.445","530.95","-1829.58","-141.587","138.64","-1879.83","-28.6039","1015.66","-1937.86","-138.676","804.99","-2135.89","-293.77","575.702","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
791,0,"-1613.43","-185.488","939.332","-2161.98","-283.872","341.899","-2164.11","119.87","960.906","-1806.81","-131.755","530.915","-1829.86","-141.703","138.583","-1881.79","-28.2344","1010.33","-1936.47","-138.611","798.623","-2135.48","-290.284","565.224","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
792,0,"-1614.77","-186.35","939.896","-2161.46","-283.319","332.512","-2165.68","120.088","950.774","-1806.9","-131.894","530.975","-1830.57","-140.186","140.63","-1883.64","-27.8768","1005.11","-1934.89","-138.577","792.476","-2134.94","-287.388","554.802","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
793,0,"-1616.23","-187.025","940.654","-2161.15","-282.656","323.652","-2167.07","120.342","940.771","-1805.99","-131.003","531.846","-1830.72","-140.279","140.086","-1885.41","-27.5695","1000.05","-1933.17","-138.579","786.705","-2134.38","-284.968","545.154","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
794,0,"-1617.57","-187.785","941.299","-2161","-281.956","315.223","-2168.36","120.544","931.295","-1805.95","-131.723","530.481","-1830.94","-139.745","140.719","-1887.13","-27.2994","995.214","-1931.39","-138.627","781.129","-2133.68","-282.3","536.326","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
795,0,"-1618.93","-188.354","941.961","nan","nan","nan","-2169.5","120.826","922.078","-1806.02","-130.544","530.358","-1830.74","-139.666","140.352","-1888.77","-26.9789","990.546","-1929.49","-138.611","776.132","-2133.1","-280.33","527.691","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
796,0,"-1620.32","-188.978","942.499","nan","nan","nan","-2170.57","121.051","913.383","-1805.5","-129.68","530.327","-1830.3","-139.84","139.196","-1890.29","-26.5643","986.078","-1928.14","-138.465","772.493","-2132.64","-279.122","519.918","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
797,0,"-1621.68","-189.435","942.99","nan","nan","nan","-2171.59","121.231","904.891","-1804.91","-128.757","530.342","-1830.21","-139.275","139.7","-1891.73","-26.3423","981.718","-1926.71","-138.78","767.932","-2132.29","-277.835","513.273","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
798,0,"-1623.05","-189.797","943.555","nan","nan","nan","-2172.54","121.421","896.998","-1804.31","-127.785","530.185","-1829.99","-138.85","139.829","-1893.14","-26.0625","977.542","-1925.38","-139.03","763.749","-2131.91","-277.587","506.505","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
799,0,"-1624.44","-190.217","943.93","nan","nan","nan","-2173.39","121.502","889.429","-1803.89","-126.849","530.353","-1829.79","-138.696","139.991","-1894.41","-25.718","973.57","-1924.24","-139.219","759.854","-2131.52","-277.004","500.452","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
800,0,"-1625.79","-190.409","944.154","nan","nan","nan","-2174.05","121.569","882.346","-1803.57","-125.96","530.457","-1829.6","-138.575","140.136","-1895.56","-25.3281","969.73","-1923.3","-139.407","756.367","-2131.15","-276.37","495.663","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
801,0,"-1627.09","-190.504","944.463","nan","nan","nan","-2174.64","121.596","875.837","-1803.5","-125.274","530.514","-1829.56","-138.573","140.265","-1896.68","-25.1893","965.773","-1922.51","-139.683","752.705","-2130.99","-276.917","491.58","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
802,0,"-1628.4","-190.574","944.536","nan","nan","nan","-2175.17","121.628","869.744","-1803.75","-124.627","530.697","-1829.66","-138.331","140.603","-1897.75","-24.6472","962.26","-1921.9","-140.074","749.393","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
803,0,"-1629.69","-190.546","944.436","nan","nan","nan","-2175.64","121.655","863.956","-1804.25","-124.081","530.78","-1829.68","-138.334","140.013","-1898.75","-24.0743","958.875","-1921.46","-140.39","745.982","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
804,0,"-1630.92","-190.385","944.345","nan","nan","nan","-2176.05","121.623","858.805","-1804.94","-123.694","530.843","-1830.1","-138.175","140.109","-1899.76","-23.3937","955.668","-1921.25","-140.818","743.167","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
805,0,"-1632.09","-190.219","944.049","nan","nan","nan","-2176.47","121.631","854.146","-1805.79","-123.222","530.903","-1830.49","-138.14","139.923","-1900.67","-22.9393","952.574","-1921.23","-141.236","740.152","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
806,0,"-1633.27","-189.847","943.67","nan","nan","nan","-2176.8","121.584","850.133","-1806.62","-122.8","530.562","-1830.9","-138.099","139.725","-1901.52","-22.4105","949.943","-1921.45","-141.808","737.908","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
807,0,"-1634.34","-189.532","943.301","nan","nan","nan","-2177.14","121.622","846.655","-1807.43","-122.419","530.239","-1831.26","-138.026","139.255","-1902.35","-21.974","947.532","-1921.9","-142.433","735.932","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
808,0,"-1635.29","-189.287","942.899","nan","nan","nan","-2177.53","121.591","843.917","-1808.28","-121.858","530.306","-1831.65","-137.962","138.733","-1903.06","-21.6425","945.339","-1922.47","-142.954","734.3","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
809,0,"-1636.19","-188.989","942.442","nan","nan","nan","-2177.89","121.585","841.634","-1808.95","-121.39","530.256","-1831.91","-137.762","138.401","-1903.69","-21.2112","943.791","-1923.12","-143.442","732.974","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
810,0,"-1636.93","-188.714","942.071","nan","nan","nan","-2178.19","121.468","839.765","-1809.54","-120.988","530.245","-1832.08","-137.619","138.28","-1904.2","-20.8985","942.607","-1923.83","-143.995","731.967","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
811,0,"-1637.53","-188.603","941.727","nan","nan","nan","-2178.47","121.276","838.472","-1809.92","-121.158","529.514","-1832.22","-137.432","138.556","-1904.65","-20.6686","941.75","-1924.56","-144.453","731.491","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
812,0,"-1637.96","-188.475","941.403","nan","nan","nan","-2178.73","121.053","837.646","-1810.27","-121.029","529.392","-1832.32","-137.233","139.101","-1905.08","-20.6302","941.294","-1925.43","-144.87","731.296","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
813,0,"-1638.27","-188.385","941.228","nan","nan","nan","-2179.02","120.775","837.322","-1810.79","-120.366","530.673","-1832.41","-137.129","139.515","-1905.48","-20.578","941.448","-1926.44","-145.172","731.818","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
814,0,"-1638.56","-188.264","941.035","nan","nan","nan","-2179.3","120.499","837.473","-1811.15","-120.469","530.818","-1832.46","-137.097","139.71","-1905.86","-20.5813","942.143","-1927.48","-145.397","732.512","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
815,0,"-1638.76","-188.191","940.924","nan","nan","nan","-2179.7","120.173","838.131","-1811.57","-120.743","530.904","-1832.54","-137.274","139.525","-1906.23","-20.5513","943.157","-1928.51","-145.506","733.543","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
816,0,"-1639.01","-188.157","940.79","nan","nan","nan","-2180.17","119.841","839.367","-1812.11","-121.215","531.005","-1832.65","-137.397","139.335","-1906.58","-20.5586","944.636","-1929.54","-145.547","734.882","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
817,0,"-1639.25","-188.21","940.738","nan","nan","nan","-2180.64","119.533","840.949","-1812.85","-121.832","531.264","-1832.84","-137.494","139.395","-1906.85","-20.7453","946.229","-1930.63","-145.516","736.644","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
818,0,"-1639.47","-188.262","940.73","nan","nan","nan","-2181.19","119.132","842.953","-1813.7","-122.61","531.393","-1833.04","-137.474","139.712","-1907.12","-20.8149","948.101","-1931.78","-145.463","738.454","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
819,0,"-1639.71","-188.366","940.821","nan","nan","nan","-2181.7","118.752","845.339","-1814.68","-123.51","531.303","-1833.26","-137.592","140.119","-1907.29","-20.8947","950.252","-1932.99","-145.331","740.55","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
820,0,"-1639.93","-188.527","941.021","nan","nan","nan","-2182.25","118.355","848.096","-1815.83","-124.581","531.635","-1833.37","-137.683","140.401","-1907.47","-20.9172","952.76","-1934.36","-145.261","742.781","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
821,0,"-1640.12","-188.624","941.361","nan","nan","nan","-2182.66","118.136","851.396","-1817","-125.841","531.429","-1833.45","-137.683","140.766","-1907.65","-21.2262","955.224","-1935.73","-145.124","745.359","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
822,0,"-1640.36","-188.685","941.745","nan","nan","nan","-2183.09","117.93","855.031","-1818.23","-127.191","531.706","-1833.54","-137.981","140.936","-1907.85","-21.6644","957.906","-1937.15","-144.96","748.035","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
823,0,"-1640.5","-188.826","942.319","nan","nan","nan","-2183.42","117.784","858.921","-1819.51","-128.555","531.876","-1833.7","-137.965","141.58","-1907.95","-21.9722","961.053","-1938.53","-144.692","750.759","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
824,0,"-1640.72","-189.24","943.02","nan","nan","nan","-2183.68","117.792","863.33","-1820.72","-129.915","531.785","-1833.83","-138.286","141.58","-1907.93","-22.5431","964.199","-1939.87","-144.379","753.641","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
825,0,"-1640.77","-189.533","943.886","nan","nan","nan","-2183.81","117.877","867.889","-1822.01","-131.261","532.045","-1834.15","-138.098","142.204","-1907.95","-23.1309","967.472","-1941.08","-144.024","756.423","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
