Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (610)",,,"Reconstruction Position - Unlabeled Track (621)",,,"Reconstruction Position - Unlabeled Track (623)",,,"Reconstruction Position - Unlabeled Track (626)",,,"Reconstruction Position - Unlabeled Track (627)",,,"Reconstruction Position - Unlabeled Track (631)",,,"Reconstruction Position - Unlabeled Track (633)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
45,0,"800.093","98.1379","1348.44","332.511","155.195","976.436","836.899","217.097","1007.56","631.751","-16.6848","1240.49","499.459","54.3697","421.569","811.071","189.536","80.6095","757.704","67.7165","430.649","458.978","-78.0736","883.369","420.565","75.067","1306.69","625.192","-40.2906","1564.92","761.205","-31.951","1040.19","775.34","61.795","945.364","nan","nan","nan","473.152","17.4312","929.008"
46,0,"800.126","98.2193","1348.48","332.445","155.178","976.451","836.997","217.151","1007.59","631.79","-16.6334","1240.55","499.486","54.4114","421.554","811.072","189.551","80.599","757.796","67.7377","430.672","458.982","-78.031","883.432","420.588","75.1189","1306.73","625.235","-40.18","1564.9","761.258","-31.8808","1040.23","775.417","61.8647","945.379","nan","nan","nan","473.23","17.48","929.039"
47,0,"800.158","98.3004","1348.5","332.401","155.165","976.505","837.108","217.211","1007.62","631.852","-16.5765","1240.61","499.538","54.4147","421.578","811.08","189.55","80.5908","757.81","67.7884","430.689","459.014","-77.9918","883.493","420.622","75.1897","1306.75","625.286","-40.0695","1564.88","761.324","-31.8107","1040.26","775.504","61.9497","945.396","nan","nan","nan","473.315","17.5013","929.067"
48,0,"800.216","98.3952","1348.53","332.353","155.149","976.54","837.208","217.274","1007.65","631.9","-16.5057","1240.64","499.569","54.4169","421.578","811.079","189.565","80.5723","757.923","67.8124","430.714","459.056","-77.9799","883.542","420.656","75.2513","1306.79","625.352","-39.9568","1564.87","761.42","-31.7464","1040.3","775.581","62.0258","945.402","nan","nan","nan","473.417","17.5526","929.082"
49,0,"800.259","98.4781","1348.55","332.326","155.124","976.57","837.33","217.324","1007.68","631.956","-16.4517","1240.68","499.619","54.4256","421.578","811.08","189.583","80.5568","757.984","67.8392","430.734","459.093","-77.9696","883.591","420.708","75.3079","1306.81","625.421","-39.8362","1564.86","761.537","-31.6919","1040.32","775.672","62.1111","945.412","nan","nan","nan","473.518","17.5736","929.097"
50,0,"800.295","98.5644","1348.54","332.298","155.113","976.581","837.418","217.41","1007.68","632.016","-16.3936","1240.71","499.655","54.4023","421.572","811.086","189.597","80.5376","758.011","67.8951","430.735","459.143","-77.9523","883.621","420.759","75.3582","1306.83","625.497","-39.7186","1564.85","761.652","-31.6306","1040.33","775.766","62.2008","945.418","430.93","181.86","97.126","473.622","17.6115","929.088"
51,0,"800.352","98.6586","1348.55","332.27","155.08","976.618","837.517","217.493","1007.7","632.072","-16.3311","1240.73","499.741","54.4023","421.594","811.097","189.585","80.5373","758.058","67.9394","430.727","459.206","-77.9311","883.645","420.823","75.4046","1306.84","625.579","-39.6063","1564.84","761.778","-31.5649","1040.35","775.85","62.288","945.407","nan","nan","nan","473.705","17.6321","929.078"
52,0,"800.414","98.7492","1348.57","332.246","155.052","976.648","837.615","217.599","1007.7","632.148","-16.2635","1240.75","499.777","54.4091","421.586","811.1","189.596","80.5269","758.104","67.9763","430.741","459.294","-77.9161","883.673","420.873","75.4343","1306.86","625.673","-39.4914","1564.82","761.895","-31.4893","1040.35","775.95","62.3794","945.395","nan","nan","nan","473.795","17.6743","929.066"
53,0,"800.472","98.8426","1348.57","332.231","155.006","976.668","837.717","217.699","1007.71","632.228","-16.2028","1240.76","499.838","54.4368","421.585","811.113","189.603","80.5199","758.136","68.024","430.735","459.371","-77.8942","883.69","420.93","75.4737","1306.88","625.767","-39.3743","1564.8","762.019","-31.4134","1040.34","776.035","62.4669","945.375","nan","nan","nan","473.889","17.6808","929.059"
54,0,"800.547","98.932","1348.59","332.23","154.968","976.686","837.824","217.788","1007.74","632.307","-16.1483","1240.78","499.867","54.4404","421.578","811.119","189.619","80.516","758.179","68.0689","430.745","459.458","-77.8752","883.697","421.024","75.4987","1306.88","625.873","-39.2604","1564.78","762.12","-31.3272","1040.32","776.132","62.5686","945.354","nan","nan","nan","473.99","17.6944","929.055"
55,0,"800.614","99.0228","1348.6","332.228","154.925","976.721","837.9","217.9","1007.72","632.401","-16.1002","1240.81","499.912","54.4385","421.577","811.125","189.624","80.5079","758.239","68.0846","430.782","459.556","-77.8597","883.704","421.096","75.5316","1306.9","625.98","-39.1469","1564.77","762.228","-31.2387","1040.29","776.21","62.6609","945.339","nan","nan","nan","474.085","17.7102","929.057"
56,0,"800.72","99.1166","1348.65","332.237","154.888","976.743","838.004","217.961","1007.79","632.488","-16.0485","1240.84","500.019","54.4325","421.602","811.137","189.625","80.5014","758.3","68.1287","430.794","459.668","-77.8481","883.704","421.176","75.5396","1306.92","626.094","-39.0301","1564.76","762.333","-31.146","1040.26","776.293","62.752","945.33","nan","nan","nan","474.191","17.7158","929.076"
57,0,"800.793","99.2075","1348.66","332.252","154.85","976.785","838.099","218.045","1007.84","632.6","-16.0069","1240.89","500.039","54.4163","421.599","811.14","189.628","80.497","758.354","68.1682","430.814","459.787","-77.839","883.706","421.269","75.5543","1306.96","626.211","-38.9142","1564.76","762.438","-31.0395","1040.26","776.376","62.8568","945.33","430.96","181.864","97.1173","474.299","17.7218","929.101"
58,0,"800.876","99.3057","1348.67","332.269","154.819","976.831","838.176","218.167","1007.83","632.72","-15.9727","1240.94","500.081","54.4058","421.597","811.142","189.625","80.4867","758.389","68.2164","430.819","459.9","-77.832","883.703","421.358","75.5726","1306.98","626.34","-38.8013","1564.78","762.542","-30.9333","1040.26","776.469","62.961","945.345","430.954","181.855","97.145","474.417","17.7207","929.122"
59,0,"800.966","99.4065","1348.69","332.315","154.786","976.897","838.258","218.293","1007.85","632.838","-15.9448","1240.99","500.126","54.3924","421.605","811.143","189.634","80.4608","758.447","68.2418","430.837","460.007","-77.8024","883.695","421.445","75.5764","1307.03","626.459","-38.6875","1564.8","762.641","-30.8336","1040.26","776.55","63.064","945.361","nan","nan","nan","474.524","17.7281","929.158"
60,0,"801.047","99.5092","1348.7","332.342","154.729","976.927","838.347","218.418","1007.87","632.955","-15.9266","1241.06","500.099","54.3514","421.557","811.142","189.633","80.4689","758.481","68.2697","430.859","460.151","-77.7913","883.69","421.55","75.5896","1307.08","626.586","-38.5777","1564.82","762.744","-30.7283","1040.26","776.642","63.1662","945.387","nan","nan","nan","474.634","17.7535","929.2"
