Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (721)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (744)",,,"Reconstruction Position - Unlabeled Track (745)",,,"Reconstruction Position - Unlabeled Track (751)",,,"Reconstruction Position - Unlabeled Track (754)",,,"Reconstruction Position - Unlabeled Track (755)",,,"Reconstruction Position - Unlabeled Track (756)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
39,0,"459.679","0.586846","415.713","599.456","-69.5963","1561.03","856.355","131.534","83.1371","779.854","30.6132","1339.77","608.413","-59.3711","1225.41","809.54","129.532","972.036","360.351","120.335","89.0938","348.961","126.045","946.748","763.881","-124.66","1026.76","757.696","15.6778","425.686","411.968","13.585","1298.01","450.484","26.4297","946.674","425.407","-132.016","863.66","741.499","-25.6657","943.831"
40,0,"459.645","0.588784","415.727","599.726","-69.2617","1561.08","856.352","131.541","83.142","779.948","30.8297","1339.69","608.508","-59.1746","1225.43","809.496","129.612","971.913","360.325","120.343","89.0799","348.874","126.125","946.89","763.861","-124.558","1026.76","757.71","15.6815","425.693","412.052","13.721","1298.12","450.441","26.569","946.696","425.368","-131.901","863.761","741.508","-25.4868","943.767"
41,0,"459.619","0.608272","415.734","599.988","-68.9459","1561.15","856.332","131.56","83.1439","780.056","31.0889","1339.64","608.588","-58.9795","1225.47","809.467","129.703","971.836","360.284","120.343","89.0756","348.763","126.201","946.996","763.861","-124.45","1026.78","757.723","15.6883","425.717","412.136","13.8626","1298.24","450.414","26.742","946.719","425.317","-131.789","863.866","741.501","-25.2929","943.725"
42,0,"459.595","0.608226","415.765","600.235","-68.6299","1561.2","856.303","131.617","83.1355","780.161","31.3683","1339.6","608.663","-58.7782","1225.5","809.383","129.83","971.711","360.23","120.334","89.0759","348.659","126.282","947.124","763.845","-124.322","1026.79","757.717","15.6863","425.748","412.21","14.03","1298.33","450.327","26.8572","946.797","425.27","-131.687","863.968","741.471","-25.099","943.689"
43,0,"459.57","0.625945","415.79","600.489","-68.3131","1561.27","856.296","131.647","83.1227","780.257","31.6424","1339.54","608.727","-58.5818","1225.55","809.295","129.964","971.598","360.205","120.329","89.0611","348.543","126.352","947.244","763.815","-124.172","1026.81","757.691","15.7009","425.767","412.281","14.1969","1298.43","450.264","27.0307","946.836","425.214","-131.572","864.078","741.422","-24.9112","943.659"
44,0,"459.526","0.650133","415.808","600.723","-67.9984","1561.33","856.305","131.673","83.1045","780.293","31.9092","1339.47","608.779","-58.3831","1225.6","809.202","130.125","971.48","360.172","120.338","89.0531","348.424","126.432","947.345","763.789","-124.004","1026.86","757.652","15.7095","425.778","412.393","14.3649","1298.5","450.186","27.2051","946.892","425.157","-131.452","864.191","741.359","-24.734","943.627"
45,0,"459.471","0.667576","415.837","600.927","-67.7078","1561.37","856.308","131.702","83.0777","780.38","32.1803","1339.42","608.835","-58.1971","1225.64","809.124","130.278","971.397","360.151","120.334","89.0339","348.289","126.484","947.447","763.758","-123.826","1026.89","757.611","15.7205","425.759","412.457","14.5211","1298.6","450.135","27.4202","946.925","425.108","-131.357","864.305","741.279","-24.5149","943.59"
46,0,"459.411","0.685547","415.864","601.136","-67.4076","1561.41","856.321","131.733","83.0405","780.446","32.4552","1339.35","608.882","-58.0166","1225.67","809.015","130.467","971.253","360.131","120.328","89.0217","348.175","126.548","947.554","763.706","-123.631","1026.91","757.561","15.7304","425.727","412.517","14.6885","1298.67","450.083","27.6579","946.958","425.061","-131.264","864.426","741.211","-24.3127","943.536"
47,0,"459.361","0.714463","415.877","601.334","-67.1146","1561.44","856.352","131.743","83.0088","780.525","32.7331","1339.3","608.935","-57.8167","1225.71","808.93","130.63","971.18","360.111","120.321","89.0052","348.032","126.593","947.632","763.672","-123.423","1026.92","757.496","15.7307","425.67","412.567","14.8516","1298.75","450.043","27.9127","946.981","425.032","-131.198","864.55","741.126","-24.0813","943.472"
48,0,"459.33","0.777977","415.864","601.516","-66.8243","1561.47","856.359","131.772","82.9542","780.592","33.0036","1339.25","608.972","-57.6208","1225.75","808.834","130.824","971.084","360.09","120.312","88.9832","347.892","126.626","947.704","763.62","-123.213","1026.94","757.429","15.7201","425.611","412.613","14.9997","1298.82","449.992","28.1652","947.013","424.997","-131.126","864.68","741.053","-23.8697","943.404"
49,0,"459.297","0.841541","415.851","601.678","-66.524","1561.5","856.375","131.777","82.9109","780.655","33.2627","1339.21","609.006","-57.4351","1225.78","808.755","131.021","971.006","360.072","120.304","88.9506","347.739","126.67","947.787","763.584","-123.006","1026.96","757.335","15.7205","425.537","412.64","15.1447","1298.9","449.955","28.4052","947.028","424.955","-131.064","864.809","740.98","-23.6544","943.348"
50,0,"459.266","0.901193","415.858","601.813","-66.2412","1561.53","856.415","131.727","82.8739","780.701","33.5114","1339.17","609.042","-57.2652","1225.82","808.706","131.199","970.984","360.034","120.28","88.9365","347.589","126.708","947.865","763.553","-122.782","1027","757.242","15.7328","425.47","412.67","15.3053","1298.95","449.893","28.6217","947.067","424.914","-131.02","864.917","740.89","-23.4113","943.297"
51,0,"459.206","0.970991","415.861","601.94","-65.9419","1561.58","856.451","131.685","82.834","780.743","33.7265","1339.16","609.05","-57.0864","1225.85","808.633","131.405","970.956","360.005","120.285","88.9128","347.461","126.754","947.962","763.524","-122.551","1027.07","757.134","15.758","425.416","412.704","15.4569","1299.02","449.811","28.8298","947.126","424.867","-130.971","865.047","740.795","-23.1483","943.25"
