Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (714)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (739)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (741)",,,"Reconstruction Position - Unlabeled Track (742)",,,"Reconstruction Position - Unlabeled Track (743)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
68,0,"503.095","27.4586","420.873","606.224","-62.7824","1555.78","784.904","46.8028","427.686","859.009","172.227","81.7356","793.715","83.1244","1359.05","629.351","-33.1677","1238.76","435.535","154.557","85.6836","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
69,0,"503.277","26.8146","421.576","605.793","-62.8065","1555.83","785.005","46.8816","427.654","859.04","172.303","81.6995","793.467","82.9079","1359.19","629.179","-33.2846","1238.75","435.541","154.628","85.6724","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
70,0,"503.67","26.1838","422.305","605.349","-62.8322","1555.89","785.151","46.9648","427.642","859.098","172.392","81.628","793.175","82.667","1359.35","628.969","-33.4084","1238.74","435.549","154.716","85.6546","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
71,0,"503.909","25.0807","423.142","604.842","-62.8665","1555.93","785.328","47.0763","427.6","859.152","172.523","81.5286","792.842","82.4081","1359.48","628.721","-33.5583","1238.72","435.567","154.833","85.6125","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
72,0,"504.038","23.6503","423.885","604.276","-62.895","1555.95","785.535","47.2042","427.551","859.223","172.635","81.452","792.449","82.1257","1359.61","628.41","-33.6949","1238.67","435.604","154.883","85.6055","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
73,0,"504.042","22.11","424.488","603.704","-62.9154","1555.96","785.7","47.3772","427.475","859.286","172.748","81.3752","792.021","81.808","1359.74","628.063","-33.8361","1238.63","435.649","154.805","85.6446","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
74,0,"503.994","20.7157","424.744","603.053","-62.9394","1555.96","785.818","47.5133","427.459","859.348","172.852","81.3135","791.544","81.4613","1359.87","627.652","-33.9748","1238.56","435.748","154.707","85.6719","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
75,0,"503.765","19.0943","424.835","602.407","-62.9731","1555.97","785.877","47.6402","427.447","859.414","172.907","81.2952","791.004","81.0638","1360.05","627.18","-34.1201","1238.49","435.839","154.61","85.6778","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
76,0,"503.473","17.2848","424.989","601.656","-62.9888","1555.95","785.795","47.7962","427.389","859.452","172.993","81.2671","790.417","80.6104","1360.27","626.665","-34.2575","1238.38","435.859","154.475","85.7118","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
77,0,"503.155","15.3285","425.201","600.863","-63.0031","1555.94","785.748","47.9368","427.324","859.501","173.108","81.2253","789.727","80.0828","1360.54","626.056","-34.3891","1238.24","435.871","154.308","85.7457","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
78,0,"502.852","13.4028","425.33","599.996","-63.0199","1555.92","785.763","48.0886","427.263","859.56","173.222","81.1924","788.945","79.4908","1360.85","625.345","-34.524","1238.08","435.853","154.034","85.8888","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
79,0,"502.463","11.5274","425.402","599.028","-63.0117","1555.89","785.797","48.2716","427.206","859.605","173.344","81.1706","788.047","78.8386","1361.16","624.557","-34.6447","1237.9","435.811","153.896","85.9838","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
80,0,"501.932","9.69874","425.402","597.966","-62.9979","1555.85","785.786","48.4446","427.185","859.638","173.469","81.1525","787.05","78.0949","1361.5","623.652","-34.7458","1237.74","435.793","153.9","85.9855","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
